,metrix,MAG,fdr,fdr1,fdr2,fdr3,p,ptb_sub_count,tb_sub_count,ptb_sub_mean,tb_sub_mean,p1,ptb_sub_count1,tb_sub_count1,ptb_sub_mean1,tb_sub_mean1,p2,ptb_sub_count2,tb_sub_count2,ptb_sub_mean2,tb_sub_mean2,p3,ptb_sub_count3,tb_sub_count3,ptb_sub_mean3,tb_sub_mean3
60,d_prime.df,MAG043.fasta,0.4772073344508847,0.5452467449979157,0.9261350515818552,0.4558416823796903,0.3579055008381635,20,44,0.9960282403636479,0.9959426203503512,0.4543722874982631,7,10,0.9935515613495228,0.996080909462356,0.9261350515818552,12,22,0.9972777874894307,0.9964242517418233,0.3810303140107427,9,29,0.9965554935067006,0.9960540278225122
58,d_prime.df,MAG044.fasta,0.09528912609125079,0.2533306992176566,0.9261350515818552,0.39758475080805067,0.0351217815204421,23,52,0.9904355502490766,0.9945503250771572,0.08444356640588553,6,13,0.9802081929002224,0.9888133538277776,0.8631686645956109,14,23,0.9917291520617828,0.9921751232780032,0.13252825026935022,12,37,0.9927241482055204,0.9961138766356924
59,d_prime.df,MAG045.fasta,0.061972368737438346,0.2533306992176566,0.841453646471563,0.29791992555145624,0.005164364061453195,20,45,0.9904942798432028,0.9933086959029293,0.0767782444660363,6,11,0.9856843658594904,0.9935876486854124,0.32106910073950423,11,21,0.9926105068625838,0.993655976172018,0.0496533209252427,10,31,0.9937109177659509,0.9900605591958844
63,d_prime.df,MAG046.fasta,0.1317666304013012,0.2533306992176566,0.841453646471563,0.42484772537128446,0.0658833152006506,17,36,0.9882700950144164,0.9922685385964404,0.05162085335591343,6,9,0.9829223389287084,0.9935008224626296,0.3664575013196663,8,17,0.9910193563406756,0.991238480375506,0.1815263090545992,10,25,0.98563562196486,0.9923890481307548
64,d_prime.df,MAG049.fasta,0.1970399367980923,0.5452467449979157,0.9261350515818552,0.39758475080805067,0.11493996313222052,21,49,0.971922098243624,0.9788713078508384,0.452659847762221,8,14,0.9737176147643958,0.9764772101651672,0.5612758361345778,13,26,0.9657563116690464,0.9765072751963149,0.12305583311902912,9,35,0.9708230335442818,0.9794398030925836
66,d_prime.df,MAG051.fasta,0.09528912609125079,0.4947887919832151,0.841453646471563,0.42484772537128446,0.039442034095190925,17,35,0.9888241092154009,0.990809703758012,0.32985919465547675,5,7,0.9832509787391088,0.9913274671811876,0.08405035408702463,9,17,0.9888310697768872,0.9926966260735406,0.26412146609428633,10,24,0.9936114069060572,0.9909029278965581
57,d_prime.df,MAG061.fasta,0.06476671231544294,0.2533306992176566,0.841453646471563,0.2495462210411298,0.010794452052573823,19,47,0.9409717332307768,0.9615844472203884,0.07771311266908039,4,11,0.9269478793743232,0.9648470233625674,0.4207268232357815,11,20,0.9506446249899754,0.9567309298696997,0.02079551842009415,11,34,0.9341333132536116,0.9615617787126862
56,d_prime.df,MAG086.fasta,0.39388466667301963,0.4947887919832151,0.841453646471563,0.4558416823796903,0.2625897777820131,29,84,0.9811843750661744,0.9846438599430656,0.3180046150537619,10,17,0.984377481726346,0.9901999584628052,0.18377786028042,18,38,0.9763600297709,0.98572010387178,0.4178548755147161,22,70,0.9841813145434388,0.9785489393899464
62,d_prime.df,MAG113.fasta,0.6575648419759528,0.4947887919832151,0.9261350515818552,0.6942107869788228,0.6240719304617304,15,33,0.9927145460527704,0.9942798531495548,0.2604860414994479,3,8,0.9891511522446688,0.9960768259319496,0.6318458853338004,9,14,0.9943610939472776,0.9952608544987108,0.6942107869788228,7,23,0.9928254199248971,0.9935272318916529
7,divsite.df,MAG023.fasta,0.41786499897387097,0.9727765307117032,0.8767870883365486,0.6344341714133389,0.18281593705106855,15,41,6624.055555555556,18911.138211382116,0.7682782035458341,6,9,4299.083333333333,14573.666666666664,0.8767870883365486,10,13,13128.85,16239.26923076923,0.12882682362435147,7,32,4612.333333333333,20544.71875
14,divsite.df,MAG038.fasta,0.41786499897387097,0.9727765307117032,0.8767870883365486,0.9843290747770927,0.13586178311074076,17,40,10891.4,15441.790833333333,0.8882745344091312,6,12,23566.08333333333,23103.33333333333,0.7084414093482762,10,20,10294.9,11987.275,0.9843290747770927,8,27,11637.125,11685.438271604939
15,divsite.df,MAG039.fasta,0.7806173280009718,0.9727765307117032,0.8767870883365486,0.9360088101003274,0.6342515790007897,12,35,9869.423611111111,10982.281904761905,0.8016135209415048,6,11,15370.583333333336,13901.5,0.8743670611628918,5,12,10093.3,11271.888888888889,0.7929781290670319,6,21,8159.416666666668,8689.547619047618
11,divsite.df,MAG042.fasta,0.8769710327586135,0.9727765307117032,0.19594246477804694,0.9162685364553553,0.8417578758983095,23,56,15130.026086956519,18860.552678571432,0.478482894192136,7,14,22527.714285714286,23001.5,0.0136061137156622,15,27,11216.0,23209.864197530864,0.4784071896066678,12,44,18215.44444444444,17042.821969696968
6,divsite.df,MAG043.fasta,0.6373428905555363,0.9727765307117032,0.8767870883365486,0.9162685364553553,0.440167772653616,25,56,6005.627333333334,5179.745833333333,0.3138561712276549,7,14,11127.357142857143,6683.928571428572,0.6875409452563706,13,26,4941.923076923077,6262.173076923077,0.6294449634872521,14,42,5761.2380952380945,4793.787698412699
4,divsite.df,MAG044.fasta,0.41786499897387097,0.9727765307117032,0.8767870883365486,0.6344341714133389,0.1668752583918881,24,66,8123.870138888888,6328.514646464647,0.5918818629302536,6,14,10552.916666666666,8755.07142857143,0.6850758187560919,16,34,7079.8125,6762.348039215686,0.1982606785666684,12,51,8519.527777777777,6100.526143790849
5,divsite.df,MAG045.fasta,0.5619940717920063,0.9727765307117032,0.8767870883365486,0.9162685364553553,0.35124629487000397,21,56,15558.315873015874,13805.074702380953,0.8264440101673718,6,13,15773.75,17743.923076923078,0.8583746397403236,12,25,15317.125,14805.02,0.5813828882413051,12,42,14786.236111111111,13132.087301587302
9,divsite.df,MAG046.fasta,0.8769710327586135,0.9727765307117032,0.7469765029212728,0.9162685364553553,0.8769710327586135,17,38,6744.024509803921,6949.775438596491,0.9157003935313224,7,9,6714.928571428572,7513.333333333332,0.3734882514606364,8,20,7730.4375,7333.575,0.6299346188130568,11,26,6928.045454545455,7227.044871794872
10,divsite.df,MAG049.fasta,0.16593609678898985,0.9727765307117032,0.19594246477804694,0.6344341714133389,0.010371006049311866,21,49,15782.055555555557,9614.663265306122,0.9727765307117032,8,14,16143.0625,18135.535714285714,0.024492808097255868,13,26,21429.153846153848,11519.621794871797,0.18547121447432505,10,35,9709.416666666666,5542.461904761904
13,divsite.df,MAG050.fasta,0.6373428905555363,0.9727765307117032,0.8767870883365486,0.9360088101003274,0.4780071679166522,19,37,8295.368421052632,6143.197747747748,0.6605492052016729,7,10,9846.92857142857,7404.25,0.8294475889935782,11,12,8635.636363636364,6697.38888888889,0.877508259469057,7,26,4890.690476190476,5335.48076923077
12,divsite.df,MAG051.fasta,0.5431882441962405,0.9727765307117032,0.6831779202528153,0.9360088101003274,0.2785108477399951,17,38,8458.3,6088.861842105262,0.21339925437636265,5,8,11653.5,6842.125,0.29169697358948865,9,18,9672.722222222224,6418.555555555556,0.8694817827381617,10,25,7554.35,5568.4333333333325
3,divsite.df,MAG061.fasta,0.41786499897387097,0.9727765307117032,0.6831779202528153,0.6344341714133389,0.14718114575677324,20,50,5656.430833333333,4068.528333333333,0.8148712838987109,6,12,5974.583333333332,4892.375,0.2357334511262711,14,25,5134.369047619048,2757.16,0.13963750347302448,11,40,6399.454545454545,4061.958333333334
0,divsite.df,MAG080.fasta,0.5431882441962405,0.0,0.6126308716548066,0.9162685364553553,0.3055433873603853,6,47,4446.75,2611.640425531915,0.0,0,15,,4435.733333333334,0.12364642743183216,3,26,7507.666666666668,3366.9743589743593,0.5718909112183054,4,42,2318.5,2156.7103174603176
